"","Diretoria.Regional","n_alunos","n_familias","n_alunos_recebeu","n_familias_recebeu","perc_alunos_recebeu","perc_familias_recebeu","n_familias_nao_recebeu"
"1","Salinas",1829,1174,721,434,39.4204483324221,36.9676320272572,740
"2","Araçuaí",2149,1301,710,410,33.0386226151698,31.5142198308993,891
"3","Montes Claros",11791,7640,4010,2364,34.0089899075566,30.9424083769633,5276
"4","Passos",3676,2515,1144,701,31.1207834602829,27.8727634194831,1814
"5","Almenara",1151,749,325,197,28.236316246742,26.30173564753,552
"6","Teófilo Otoni",4409,2611,1217,670,27.6026309820821,25.6606664113367,1941
"7","Diamantina",3251,1997,913,511,28.0836665641341,25.5883825738608,1486
"8","Curvelo",1654,1221,414,285,25.0302297460701,23.3415233415233,936
"9","Metropolitana",20972,14876,5072,3351,24.1846271218768,22.5262167249261,11525
"10","Uberaba",2636,1842,666,413,25.2655538694992,22.4212812160695,1429
"11","Governador Valadares",6920,4776,1631,1006,23.5693641618497,21.0636515912898,3770
"12","Uberlândia",3490,2415,741,479,21.2320916905444,19.8343685300207,1936
"13","Timóteo",7588,5413,1568,1060,20.6642066420664,19.5824866063181,4353
"14","Paracatu",2381,1624,489,284,20.537589248215,17.487684729064,1340
"15","Ituiutaba",1294,869,228,150,17.6197836166924,17.2612197928654,719
"16","Juiz de Fora",4778,3361,898,566,18.7944746755965,16.8402261231776,2795
"17","Varginha",8503,5936,1497,973,17.6055509820063,16.3915094339623,4963
"18","Patos de Minas",3137,2155,537,336,17.1182658591011,15.5916473317865,1819
"19","São João Del Rei",4854,3397,828,524,17.0580964153276,15.4253753311746,2873
"20","Divinópolis",6315,4447,897,574,14.2042755344418,12.907578142568,3873
"21","Muriaé",7459,5284,1042,668,13.96970103231,12.6419379258138,4616
"22","Poços de Caldas",5023,3630,551,351,10.9695401154688,9.66942148760331,3279
